loop1: max_iter=50, norm_reduction(target=0.001, final=0.000989102)
  i                   resNorm                         J                        Jb                      JoJc
  0         1159.376669266734      1467299.132188299904            0.000000000000      1467299.132188299904
  1          846.297359589082      1463918.901529553114           17.000964302698      1463901.900565251010
  2          718.409060237333      1462275.116634607082           45.101559154000      1462230.015075453091
  3          545.838713602368      1461466.162765928078           69.959479363846      1461396.203286563978
  4          450.248470373793      1460331.070022890111          131.484628880125      1460199.585394009016
  5          406.147526729669      1459527.374791621929          204.587241541774      1459322.787550080102
  6          343.318586756538      1458789.111654348904          306.502858244732      1458482.608796104090
  7          298.420333166835      1457969.079667829908          478.216312161371      1457490.863355668960
  8          248.046966980434      1457486.941536413971          618.189553251947      1456868.751983162016
  9          178.191513221491      1457015.218651626958          796.697253403821      1456218.521398223005
 10          174.478502547570      1456688.066987218102          955.671042136887      1455732.395945081022
 11          181.682807289578      1456478.498579981038         1079.714139133930      1455398.784440847114
 12          132.213739133435      1456275.063907494070         1222.586735344233      1455052.477172150044
 13          110.166542544004      1456125.113498856081         1346.264385537020      1454778.849113319069
 14          109.911680867334      1456004.061174457893         1462.053533150263      1454542.007641308010
 15           96.205107369508      1455914.531500597950         1559.901049364335      1454354.630451234058
 16           79.278117940250      1455848.252044548979         1640.958637907377      1454207.293406642042
 17           71.046127794393      1455792.346801911946         1716.873571838852      1454075.473230072996
 18           65.396868635793      1455755.347930246964         1772.047485837350      1453983.300444409950
 19           57.409092957389      1455728.069636441069         1816.007761798355      1453912.061874642968
 20           51.673817272804      1455705.023443564074         1855.953223138643      1453849.070220425026
 21           44.259160742659      1455686.848749621073         1889.761053189911      1453797.087696430972
 22           37.267123597578      1455671.499970183009         1920.352047815940      1453751.147922367090
 23           27.425251585675      1455656.877828730037         1951.782601328982      1453705.095227401005
 24           25.228851185393      1455647.633456450887         1973.195280336436      1453674.438176114112
 25           20.619317055389      1455640.907479977934         1989.842366511790      1453651.065113466000
 26           16.122829605385      1455635.243437353987         2004.837266009327      1453630.406171343988
 27           15.769389584285      1455631.694731866941         2014.867187207578      1453616.827544658910
 28           11.919832722136      1455629.185021762969         2022.378498389284      1453606.806523372885
 29           10.854788761032      1455627.400911385892         2028.009640119110      1453599.391271267086
 30            8.601328130635      1455625.998837572988         2032.675065852967      1453593.323771720054
 31            7.709396479037      1455625.001266743056         2036.172812487589      1453588.828454254894
 32            6.603639332447      1455624.408914403059         2038.346592081064      1453586.062322322046
 33            5.263225998749      1455623.868516603950         2040.418969774694      1453583.449546830030
 34            4.321102354530      1455623.508256037952         2041.865001906305      1453581.643254132010
 35            3.557069272673      1455623.243642379995         2042.974635667925      1453580.269006713061
 36            3.377483513511      1455623.071752123069         2043.726306289613      1453579.345445834100
 37            2.405670437690      1455622.944647392025         2044.304238282959      1453578.640409108950
 38            2.255802120991      1455622.853252344066         2044.736318177994      1453578.116934166057
 39            1.778431365911      1455622.790815955028         2045.042899525145      1453577.747916430002
 40            1.544919506614      1455622.749491859926         2045.252986535975      1453577.496505324030
 41            1.207156314291      1455622.715059295064         2045.434387729284      1453577.280671565095
 42            1.146741579427      1455622.695553903934         2045.540712214111      1453577.154841690091

loop2: max_iter=50, norm_reduction(target=0.001, final=0.000951682)
  i                   resNorm                         J                        Jb                      JoJc
  0           19.762600577770      1455682.667631621938         2045.540712214111      1453637.126919408096
  1           30.177485276830      1455672.958120228024         2047.736126169980      1453625.221994057996
  2           22.391459177841      1455670.949132421054         2048.638188504797      1453622.310943915974
  3           30.739325991314      1455668.864505300997         2049.724441906322      1453619.140063395025
  4           23.523016015076      1455667.306727155112         2050.584371045262      1453616.722356108949
  5           19.860396650814      1455664.778401904041         2052.045801509224      1453612.732600395102
  6           18.693117899635      1455663.255630933912         2052.984822476088      1453610.270808458095
  7           14.242945106822      1455661.334164584056         2054.200233889546      1453607.133930694079
  8           13.246964372054      1455659.313097995007         2056.029365725799      1453603.283732268959
  9           12.985937522872      1455658.264943096088         2057.012546343725      1453601.252396751894
 10            8.456196198998      1455657.250820874935         2057.866157453694      1453599.384663420962
 11            8.291880575955      1455656.543738811044         2058.663316227657      1453597.880422583083
 12            8.655307144619      1455655.895841646008         2059.224920380270      1453596.670921266079
 13            6.052253626755      1455655.485441379016         2059.607495252094      1453595.877946126973
 14            6.440959606120      1455655.102949965978         2060.057236137133      1453595.045713829109
 15            6.432870127650      1455654.809358110884         2060.365123700813      1453594.444234410999
 16            4.530912015190      1455654.556707475102         2060.687837276277      1453593.868870198028
 17            4.214227280704      1455654.388177822111         2060.887798912002      1453593.500378909986
 18            4.018928169131      1455654.221208116971         2060.985261896732      1453593.235946221044
 19            3.505456162167      1455654.095064928057         2061.097850589361      1453592.997214338044
 20            2.909781059926      1455654.008082991932         2061.113667795656      1453592.894415196963
 21            3.169016744645      1455653.918401007075         2061.144579158863      1453592.773821847979
 22            2.355531502613      1455653.872519154102         2061.139755880929      1453592.732763272943
 23            2.007957193250      1455653.824101283913         2061.072887462653      1453592.751213822048
 24            1.543692341049      1455653.785347386030         2061.031310189179      1453592.754037196981
 25            1.488671421089      1455653.754680680111         2060.991995964537      1453592.762684715912
 26            1.123661401875      1455653.731218332890         2060.943966954842      1453592.787251377944
 27            1.062755738574      1455653.714800342917         2060.879648499385      1453592.835151843959
 28            0.867770354369      1455653.701769829029         2060.829679420091      1453592.872090409044
 29            0.717186625269      1455653.693350953981         2060.799976908353      1453592.893374046078
 30            0.641705942310      1455653.687579646939         2060.800905544477      1453592.886674101930
 31            0.545966339804      1455653.682753259083         2060.787927020360      1453592.894826238975
 32            0.415986544475      1455653.679022389930         2060.783848038039      1453592.895174351986
 33            0.372874389954      1455653.676758340094         2060.784850411691      1453592.891907928046
 34            0.317393466083      1455653.675081406021         2060.772205634312      1453592.902875771979
 35            0.246024432839      1455653.673932283884         2060.770947537274      1453592.902984746033
 36            0.230891456416      1455653.673168736976         2060.772964909263      1453592.900203828001
 37            0.174908534887      1455653.672536570113         2060.782702630714      1453592.889833939029
 38            0.149617299844      1455653.672095329966         2060.785991672392      1453592.886103658006
 39            0.137139754595      1455653.671808280982         2060.783298620338      1453592.888509660028
 40            0.097110740912      1455653.671578051988         2060.783616630252      1453592.887961422093
 41            0.096135616541      1455653.671436476987         2060.786559322234      1453592.884877155069
 42            0.076742046070      1455653.671335177030         2060.791169289785      1453592.880165887065
 43            0.061991422112      1455653.671263535041         2060.797996195290      1453592.873267340008
 44            0.056572621353      1455653.671215055976         2060.803618431183      1453592.867596624885
 45            0.049257662782      1455653.671177326934         2060.806464928759      1453592.864712398034
 46            0.035979883915      1455653.671151668066         2060.809401586989      1453592.861750080949
 47            0.030291477412      1455653.671129850904         2060.810800298550      1453592.860329553019
 48            0.023495071183      1455653.671115434030         2060.811645636644      1453592.859469796997
 49            0.022318405377      1455653.671108336886         2060.811765124802      1453592.859343212098
