        observer   n_ioda     nobs   nobs_r  n_loop1  n_loop2       obserr       Jo/n_1       Jo/n_2
        refl10cm  3852369  3852369  3852369       06       06     0.388461      3720133      3720133
     adpsfc_t181     9252      361      361      354      354       0.7528      2.03373     0.968158
     adpsfc_t183     9252      214      214      212      212      3.29379     0.138272    0.0778174
     adpsfc_t187     9252     2079     2079     2079     2079       2.2585     0.173824     0.139711
     adpsfc_q181     9252     3079     3079     3077     3077      939.261    0.0455245    0.0222276
     adpsfc_q183     9252     3290     3290     3286     3286      966.708    0.0114413   0.00654708
     adpsfc_q187     9252     2385     2385     2383     2383      386.667     0.467235     0.273657
    adpsfc_ps181     9252      362      362      360      360      55.8421      0.83069     0.233012
    adpsfc_ps187     9252     1957     1957     1956     1956      54.9432      1.44585     0.304524
    adpsfc_uv281     9252      646      646      642      642       1.7229     0.448048     0.212029
    adpsfc_uv284     9252      424      424      418      418      1.28581      0.90834     0.323343
    adpsfc_uv287     9252     4124     4124     4106     4106       1.5874     0.545765     0.287073
     adpupa_t120      764      175      175      175      175      9.10377       0.1205    0.0782334
     adpupa_q120      764       51       51       51       51     0.452664     0.501822     0.143312
    adpupa_ps120      764        1        1        1        1      68.5717      1.51057      0.91276
    adpupa_uv220      764      544      544      544      544       1.3351     0.364996     0.262624
     aircar_t133    14626     6055     6055     6049     6049      1.04075     0.352524     0.174453
     aircar_q133    14626      253      253      253      253     0.672641     0.700211     0.315599
    aircar_uv233    14626    12266    12266    12252    12252      2.34969     0.440223     0.178417
     sfcshp_t180     3133      649      649      649      649      7.85069    0.0554549    0.0534372
     sfcshp_t183     3133       47       47       47       47      9.12987    0.0472738    0.0271752
     sfcshp_q180     3133      445      445      445      445   0.00102238     0.499723     0.363519
     sfcshp_q183     3133      288      288      288      288      945.538    0.0288824    0.0270274
    sfcshp_ps180     3133     1256     1256     1241     1241      38.2058      3.76445     0.759679
    sfcshp_uv280     3133     1968     1968     1966     1966       2.6487     0.207355     0.126945
    sfcshp_uv282     3133       40       40       40       40      1.07919     0.589488     0.101071
    sfcshp_uv284     3133      230      230      212      212      1.10002      1.95948     0.487139
