               program              observation         number         status
            larccld.fd                GOES_EAST        1040564           read
            larccld.fd                GOES_WEST         828611           read
           metarcld.fd                raw_METAR           5934           read
           metarcld.fd       METAR_on_MPAS_mesh        1065834      processed
          lightning.fd            raw_lightning          17481           read
          lightning.fd   lightning_on_MPAS_mesh           2696      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           64.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1065834       ingested
      cloudanalysis.fd                lightning           2696       ingested
      cloudanalysis.fd                     refl             33       ingested
