        observer   n_ioda     nobs   nobs_r  n_loop1  n_loop2       obserr       Jo/n_1       Jo/n_2
        refl10cm  3935199  3935199  3935199  3802378  3802378            5     0.368599     0.368599
     adpsfc_t181     8836      378      378      363      363       0.7528      2.50891     0.727441
     adpsfc_t183     8836      209      209      207      207  3.18511e+09    0.0706512    0.0463573
     adpsfc_t187     8836     2099     2099     2095     2095       2.2585     0.228451     0.163065
     adpsfc_q181     8836     3138     3138     3134     3134      937.668    0.0734595    0.0516621
     adpsfc_q183     8836     3344     3344     3338     3338      967.992    0.0147643   0.00922592
     adpsfc_q187     8836     2432     2432     2428     2428      391.558     0.552278     0.331557
    adpsfc_ps181     8836      379      379      376      376      55.6731      1.25123      0.30598
    adpsfc_ps187     8836     1984     1984     1983     1983      54.7054      1.48426     0.306348
    adpsfc_uv281     8836      660      660      654      654      1.72229     0.754559     0.333565
    adpsfc_uv284     8836      414      414      404      404      1.28685      1.13473     0.456799
    adpsfc_uv287     8836     3970     3970     3936     3936       1.5874     0.753671       0.4197
     adpupa_t120      128       63       63       63       63        1.698     0.140009     0.120703
     adpupa_q120      128       24       24       24       24   0.00154788    0.0956712    0.0551042
    adpupa_ps120      128        1        1        1        1      69.4027     0.761614     0.891032
    adpupa_uv220      128      126      126      126      126      2.64007      0.40224     0.333554
     aircar_t133    52782    22838    22838    22820    22820      0.98188     0.366301     0.207388
     aircar_q133    52782     2076     2076     2076     2076     0.515588     0.309075     0.193701
    aircar_uv233    52782    45856    45856    45816    45816       2.3375      0.43834      0.21599
     sfcshp_t180     3205      683      683      680      680  9.39336e+08     0.145482     0.149708
     sfcshp_t183     3205       46       46       45       45  1.49071e+09     0.190227     0.201126
     sfcshp_q180     3205      485      485      482      482   0.00117459      0.53477     0.335528
     sfcshp_q183     3205      299      299      296      296      945.241     0.213166     0.145304
    sfcshp_ps180     3205     1298     1298     1290     1290      38.3825      2.70062     0.702893
    sfcshp_uv280     3205     2058     2058     2054     2054      2.65102     0.230364     0.126766
    sfcshp_uv282     3205       30       30       30       30      1.07925      1.49117     0.404902
    sfcshp_uv284     3205      244      244      238      238      1.12842      2.27744     0.807467
