               program              observation         number         status
            larccld.fd                GOES_EAST        1047390           read
            larccld.fd                GOES_WEST         821402           read
           metarcld.fd                raw_METAR           5386           read
           metarcld.fd       METAR_on_MPAS_mesh        1101413      processed
          lightning.fd            raw_lightning          53454           read
          lightning.fd   lightning_on_MPAS_mesh           7783      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           68.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1101413       ingested
      cloudanalysis.fd                lightning           7783       ingested
      cloudanalysis.fd                     refl             33       ingested
