               program              observation         number         status
            larccld.fd                GOES_EAST        1042201           read
            larccld.fd                GOES_WEST         821163           read
           metarcld.fd                raw_METAR           5324           read
           metarcld.fd       METAR_on_MPAS_mesh        1116373      processed
          lightning.fd            raw_lightning          39842           read
          lightning.fd   lightning_on_MPAS_mesh           4569      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           66.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1116373       ingested
      cloudanalysis.fd                lightning           4569       ingested
      cloudanalysis.fd                     refl             33       ingested
