        observer   n_ioda     nobs   nobs_r  n_loop1  n_loop2       obserr       Jo/n_1       Jo/n_2
     adpsfc_t181     9371     3580      388      380      380       0.7528      2.26474     0.556262
     adpsfc_t183     9371     3580      221      219      219  3.37869e+09    0.0791316    0.0322203
     adpsfc_t187     9371     2775     2123     2120     2120       2.2585     0.217979     0.143007
     adpsfc_q181     9371     3500     3236     3232     3232      937.777    0.0643814    0.0347182
     adpsfc_q183     9371     3500     3455     3449     3449      967.063    0.0175281   0.00990242
     adpsfc_q187     9371     2728     2467     2464     2464      394.376     0.515666     0.313931
    adpsfc_ps181     9371     7195      389      387      387      55.3753     0.833606     0.225353
    adpsfc_ps187     9371     2825     1886     1886     1886      54.8101      1.81761     0.278081
    adpsfc_uv281     9371     6474      678      674      674      1.72176     0.554778     0.249273
    adpsfc_uv284     9371     8286      438      434      434      1.28454     0.958538     0.388316
    adpsfc_uv287     9371     5076     3882     3872     3872       1.5874     0.542447     0.357021
     adpupa_t120      136       63       63       63       63      1.68477      0.25307     0.204993
     adpupa_q120      136       26       26       26       26   0.00184849    0.0656052    0.0499042
    adpupa_ps120      136        1        1        1        1      82.2975      3.96307      3.01417
    adpupa_uv220      136      144      144      144      144      2.64596      0.40369     0.315071
     aircar_t133    60521    25139    25139    25132    25132     0.921397     0.306058     0.178934
     aircar_q133    60521     2324     2324     2324     2324      0.41841     0.192399     0.133351
    aircar_uv233    60521    50614    50614    50602    50602      2.32776     0.329506       0.1727
     sfcshp_t180     3271      941      708      704      704  7.53778e+08     0.112451    0.0839413
     sfcshp_t183     3271      429       60       60       60  1.29099e+09     0.212086      0.14779
     sfcshp_q180     3271      601      499      495      495   0.00120437     0.767969     0.351598
     sfcshp_q183     3271      333      324      320      320      926.098     0.182632     0.128839
    sfcshp_ps180     3271     3243      815      802      801      38.1059      3.92753     0.894992
    sfcshp_uv280     3271     2880     1346     1340     1340      2.64934     0.251355     0.143635
    sfcshp_uv282     3271     2880       40       40       40      1.07919     0.885002     0.161956
    sfcshp_uv284     3271     2880      266      240      240      1.12712      2.26913     0.773086
