               program              observation         number         status
            larccld.fd                GOES_EAST        1043274           read
            larccld.fd                GOES_WEST         824603           read
           metarcld.fd                raw_METAR           5752           read
           metarcld.fd       METAR_on_MPAS_mesh        1106669      processed
          lightning.fd            raw_lightning           6269           read
          lightning.fd   lightning_on_MPAS_mesh            682      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           64.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1106669       ingested
      cloudanalysis.fd                lightning            682       ingested
      cloudanalysis.fd                     refl             33       ingested
