               program              observation         number         status
            larccld.fd                GOES_EAST        1050496           read
            larccld.fd                GOES_WEST         822662           read
           metarcld.fd                raw_METAR           5477           read
           metarcld.fd       METAR_on_MPAS_mesh        1108363      processed
          lightning.fd            raw_lightning          53480           read
          lightning.fd   lightning_on_MPAS_mesh           8337      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           67.5           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1108363       ingested
      cloudanalysis.fd                lightning           8337       ingested
      cloudanalysis.fd                     refl             33       ingested
