               program              observation         number         status
            larccld.fd                GOES_EAST        1041407           read
            larccld.fd                GOES_WEST         819175           read
           metarcld.fd                raw_METAR           4810           read
           metarcld.fd       METAR_on_MPAS_mesh        1098867      processed
          lightning.fd            raw_lightning          63365           read
          lightning.fd   lightning_on_MPAS_mesh           7984      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           68.5           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1098867       ingested
      cloudanalysis.fd                lightning           7984       ingested
      cloudanalysis.fd                     refl             33       ingested
