loop1: max_iter=50, norm_reduction(target=0.001, final=0.000984137)
  i                   resNorm                         J                        Jb                      JoJc
  0         1186.571508173766       911855.496957342955            0.000000000000       911855.496957342955
  1          724.224377341920       909033.682454437483           11.310950096962       909022.371504340554
  2          549.196079470163       907552.751286487444           34.661487483876       907518.089799003559
  3          475.632418603288       906400.038398183184           77.536200347924       906322.502197835245
  4          352.529283762588       905279.289882491459          160.557349695549       905118.732532795868
  5          331.398414135693       904439.944584783865          268.134991532611       904171.809593251208
  6          314.225667377012       903961.595622111228          356.805904000643       903604.789718110580
  7          246.171054171755       903481.805687015061          475.694778029893       903006.110908985138
  8          231.403992255073       903063.123671939829          613.539476792797       902449.584195147036
  9          216.287745799700       902797.419788040221          723.343188329172       902074.076599711087
 10          183.756424481432       902533.324239515350          855.838627145649       901677.485612369725
 11          183.188493465690       902330.019803794567          978.183459235983       901351.836344558629
 12          143.392154205033       902154.746148326900         1101.920322437257       901052.825825889595
 13          123.652101540482       902053.026097301976         1183.393047722527       900869.633049579454
 14          103.261877857321       901947.291370511288         1278.415827632361       900668.875542878872
 15          109.732273010427       901868.365645261831         1358.315354266537       900510.050290995277
 16           85.620070753782       901799.646658616606         1436.000495232718       900363.646163383848
 17           84.095299762134       901743.803060136270         1506.164581774643       900237.638478361652
 18           78.662741640115       901699.972415860277         1566.853897470403       900133.118518389878
 19           62.988833802212       901672.606092890259         1607.802831635430       900064.803261254798
 20           57.219147775887       901644.897565417225         1652.348537124557       899992.549028292648
 21           49.456286898063       901626.247136584832         1684.508728353763       899941.738408231060
 22           40.572661478091       901609.448922876385         1715.422345276659       899894.026577599696
 23           34.480813784284       901594.528515335172         1744.901963657533       899849.626551677589
 24           29.179725318015       901583.180508778780         1769.005135105986       899814.175373672741
 25           25.300573441851       901575.098846717621         1787.359981449588       899787.738865268067
 26           24.146334501706       901569.250676173833         1801.477859309292       899767.772816864541
 27           18.863426188691       901564.592972073588         1813.386956459523       899751.206015614094
 28           16.031013117703       901560.661447845050         1824.049646794034       899736.611801051069
 29           15.276419924366       901558.155479198089         1831.235699429116       899726.919779769029
 30           11.970891997917       901556.004144220031         1837.734080887828       899718.270063332166
 31            9.996747532729       901554.588451484451         1842.227570787382       899712.360880697030
 32            8.613347848863       901553.380626863916         1846.253442402978       899707.127184460987
 33            7.944496594333       901552.638636752614         1848.844815975604       899703.793820776977
 34            6.172831463450       901552.038949014153         1851.029772340751       899701.009176673368
 35            5.023092785615       901551.559925945010         1852.854353259708       899698.705572685343
 36            4.182755520477       901551.201064466382         1854.286349573042       899696.914714893326
 37            4.290736812777       901550.992238138453         1855.155673773924       899695.836564364494
 38            3.405852459983       901550.845125498250         1855.790137709231       899695.054987789015
 39            2.471096261739       901550.694557642564         1856.465141006617       899694.229416635935
 40            2.175726569354       901550.610118611366         1856.859062229848       899693.751056381501
 41            1.867953430279       901550.549638875644         1857.151385909204       899693.398252966464
 42            1.714714012525       901550.508257106994         1857.358314528691       899693.149942578282
 43            1.444838407704       901550.478502777405         1857.511894382509       899692.966608394869
 44            1.167748816763       901550.456942705321         1857.626567700435       899692.830375004909

loop2: max_iter=50, norm_reduction(target=0.001, final=0.00129556)
  i                   resNorm                         J                        Jb                      JoJc
  0           22.826001191882       901612.678290463402         1857.626567700435       899755.051722762990
  1           33.224997791124       901603.824166755890         1858.071589852590       899745.752576903324
  2           29.932842635306       901599.227928945795         1858.891280291086       899740.336648654658
  3           24.164505809726       901595.662132370984         1859.694255558936       899735.967876812094
  4           26.817121258355       901593.517567936913         1860.131667006430       899733.385900930502
  5           16.646852174795       901591.203956418787         1860.922064084260       899730.281892334577
  6           20.494686542447       901589.686536766007         1861.557547928829       899728.128988837125
  7           13.921271680504       901587.322932535899         1862.954737387565       899724.368195148301
  8           13.394827726235       901586.214245969430         1863.737385993351       899722.476859976072
  9           12.162083035353       901585.148530708160         1864.440944524875       899720.707586183329
 10           10.861498184651       901584.464521812391         1865.086627613744       899719.377894198638
 11           10.388648904815       901583.653702635085         1865.909986938571       899717.743715696502
 12            9.073181311537       901583.033097286709         1866.557962935673       899716.475134351058
 13            8.656300069077       901582.572399467579         1866.995687404404       899715.576712063164
 14            6.783973246043       901582.146254096762         1867.477398406968       899714.668855689815
 15            7.500306859838       901581.784416919807         1867.976529413756       899713.807887506089
 16            5.843134255167       901581.404639776680         1868.438706769094       899712.965933007537
 17            5.625426185267       901581.204166237498         1868.707409356255       899712.496756881243
 18            5.988396299596       901581.016899915878         1868.990208490079       899712.026691425825
 19            4.216606784139       901580.845539642381         1869.367209968277       899711.478329674108
 20            3.854357891500       901580.689174816362         1869.761754441684       899710.927420374705
 21            3.871306244856       901580.590327196056         1869.955907141229       899710.634420054848
 22            2.766095557350       901580.507906205836         1870.095361404439       899710.412544801366
 23            2.847806950628       901580.443751783925         1870.192506844955       899710.251244938932
 24            2.110371319593       901580.377949866117         1870.250591290675       899710.127358575468
 25            1.702847397280       901580.321680585272         1870.354329505930       899709.967351079336
 26            1.768638357322       901580.292752801324         1870.318346175378       899709.974406625959
 27            1.355259902798       901580.272560890182         1870.317136223616       899709.955424666521
 28            1.175377865328       901580.252271982143         1870.309924415481       899709.942347566714
 29            0.946394702962       901580.238088036538         1870.306506521788       899709.931581514771
 30            0.913980143000       901580.227508757147         1870.293823303480       899709.933685453725
 31            0.768292981552       901580.220492459484         1870.278309043261       899709.942183416220
 32            0.674780201832       901580.213668828714         1870.260864805847       899709.952804022818
 33            0.550905113643       901580.208750972524         1870.234189931611       899709.974561040872
 34            0.501916726951       901580.205769622698         1870.221045787884       899709.984723834787
 35            0.369048840866       901580.203358260682         1870.215114158987       899709.988244101638
 36            0.329343814762       901580.201798238675         1870.201569725699       899710.000228513032
 37            0.258855943805       901580.200590169523         1870.197809511274       899710.002780658193
 38            0.261017558815       901580.199664347572         1870.194324653198       899710.005339694326
 39            0.219013220212       901580.199087627931         1870.191392232193       899710.007695395732
 40            0.176759575728       901580.198570996057         1870.192852457691       899710.005718538421
 41            0.147430926568       901580.198175044963         1870.189045641649       899710.009129403275
 42            0.142578811146       901580.197957306402         1870.187215992383       899710.010741314036
 43            0.109812082650       901580.197746332153         1870.188333861555       899710.009412470623
 44            0.086924812762       901580.197588714422         1870.190080183065       899710.007508531329
 45            0.075018307495       901580.197485312470         1870.193961897279       899710.003523415187
 46            0.059135381624       901580.197412996087         1870.196094060437       899710.001318935654
 47            0.048514276041       901580.197369236965         1870.197583660755       899709.999785576249
 48            0.039556159882       901580.197329658899         1870.198995684541       899709.998333974392
 49            0.035505784408       901580.197304862319         1870.199972252579       899709.997332609724
 50            0.029572358721       901580.197291136836         1870.199922697910       899709.997368438868

