               program              observation         number         status
            larccld.fd                GOES_EAST        1044416           read
            larccld.fd                GOES_WEST         820901           read
           metarcld.fd                raw_METAR           5513           read
           metarcld.fd       METAR_on_MPAS_mesh        1094113      processed
          lightning.fd            raw_lightning          52666           read
          lightning.fd   lightning_on_MPAS_mesh           5898      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           68.5           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1094113       ingested
      cloudanalysis.fd                lightning           5898       ingested
      cloudanalysis.fd                     refl             33       ingested
