               program              observation         number         status
            larccld.fd                GOES_EAST        1047263           read
            larccld.fd                GOES_WEST         824499           read
           metarcld.fd                raw_METAR           5353           read
           metarcld.fd       METAR_on_MPAS_mesh        1102441      processed
          lightning.fd            raw_lightning          43945           read
          lightning.fd   lightning_on_MPAS_mesh           5599      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           63.5           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1102441       ingested
      cloudanalysis.fd                lightning           5599       ingested
      cloudanalysis.fd                     refl             33       ingested
