               program              observation         number         status
            larccld.fd                GOES_EAST        1045617           read
            larccld.fd                GOES_WEST         823142           read
           metarcld.fd                raw_METAR           3975           read
           metarcld.fd       METAR_on_MPAS_mesh        1104336      processed
          lightning.fd            raw_lightning          28371           read
          lightning.fd   lightning_on_MPAS_mesh           3697      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           61.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1104336       ingested
      cloudanalysis.fd                lightning           3697       ingested
      cloudanalysis.fd                     refl             33       ingested
