               program              observation         number         status
            larccld.fd                GOES_EAST        1029647           read
            larccld.fd                GOES_WEST         822611           read
           metarcld.fd                raw_METAR           7282           read
           metarcld.fd       METAR_on_MPAS_mesh        1084194      processed
          lightning.fd            raw_lightning          13311           read
          lightning.fd   lightning_on_MPAS_mesh            762      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           56.5           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1084194       ingested
      cloudanalysis.fd                lightning            762       ingested
      cloudanalysis.fd                     refl             33       ingested
