               program              observation         number         status
            larccld.fd                GOES_EAST        1041774           read
            larccld.fd                GOES_WEST         823768           read
           metarcld.fd                raw_METAR           5402           read
           metarcld.fd       METAR_on_MPAS_mesh        1070144      processed
          lightning.fd            raw_lightning          20339           read
          lightning.fd   lightning_on_MPAS_mesh           2593      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           66.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1070144       ingested
      cloudanalysis.fd                lightning           2593       ingested
      cloudanalysis.fd                     refl             33       ingested
