               program              observation         number         status
            larccld.fd                GOES_EAST        1043524           read
            larccld.fd                GOES_WEST         824797           read
           metarcld.fd                raw_METAR           4818           read
           metarcld.fd       METAR_on_MPAS_mesh        1096967      processed
          lightning.fd            raw_lightning          19996           read
          lightning.fd   lightning_on_MPAS_mesh           1173      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           60.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1096967       ingested
      cloudanalysis.fd                lightning           1173       ingested
      cloudanalysis.fd                     refl             33       ingested
