               program              observation         number         status
            larccld.fd                GOES_EAST        1038861           read
            larccld.fd                GOES_WEST         821375           read
           metarcld.fd                raw_METAR           5266           read
           metarcld.fd       METAR_on_MPAS_mesh        1003372      processed
          lightning.fd            raw_lightning          43790           read
          lightning.fd   lightning_on_MPAS_mesh           4860      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           68.5           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1003372       ingested
      cloudanalysis.fd                lightning           4860       ingested
      cloudanalysis.fd                     refl             33       ingested
