        observer   n_ioda     nobs   nobs_r  n_loop1  n_loop2       obserr       Jo/n_1       Jo/n_2
        refl10cm  3878227  3878227  3878227  3744448  3744448            5     0.333878     0.333878
     adpsfc_t181    10021      369      369      365      365       0.7528      1.23859     0.573172
     adpsfc_t183    10021      215      215      213      213  3.21382e+09     0.121319    0.0721973
     adpsfc_t187    10021     2026     2026     2026     2026       2.2585     0.181885      0.15171
     adpsfc_q181    10021     3328     3328     3326     3326      942.592    0.0713992    0.0340537
     adpsfc_q183    10021     3537     3537     3533     3533      969.292    0.0185186    0.0111619
     adpsfc_q187    10021     2330     2330     2328     2328      395.567     0.399072      0.25502
    adpsfc_ps181    10021      370      370      368      368      55.3597      1.16011     0.266263
    adpsfc_ps187    10021     1870     1870     1870     1870      55.0464      0.98246     0.275562
    adpsfc_uv281    10021      654      654      650      650      1.71317     0.638161     0.252047
    adpsfc_uv284    10021      426      426      416      416      1.28649     0.966621     0.321532
    adpsfc_uv287    10021     4036     4036     4032     4032       1.5874     0.428042     0.254598
     aircar_t133    10165     4529     4529     4529     4529     0.923436     0.391916     0.194365
     aircar_q133    10165      186      186      186      186    0.0016127      1.94662      1.09437
    aircar_uv233    10165     9054     9054     9054     9054      2.32378     0.447057     0.182711
     sfcshp_t180     3165      650      650      650      650  9.60769e+08    0.0437089    0.0505035
     sfcshp_t183     3165       56       56       56       56  1.33631e+09    0.0769961    0.0660192
     sfcshp_q180     3165      438      438      438      438   0.00106408     0.378476     0.246441
     sfcshp_q183     3165      310      310      310      310      927.129    0.0742966    0.0350391
    sfcshp_ps180     3165     1254     1254     1243     1243      38.2444      3.45287     0.790614
    sfcshp_uv280     3165     1976     1976     1976     1976      2.65009     0.235777     0.128478
    sfcshp_uv282     3165       40       40       40       40      1.07953     0.856492    0.0654942
    sfcshp_uv284     3165      268      268      268      268      1.12379     0.870437     0.239108
