               program              observation         number         status
            larccld.fd                GOES_EAST        1048496           read
            larccld.fd                GOES_WEST              0           read
           metarcld.fd                raw_METAR           5837           read
           metarcld.fd       METAR_on_MPAS_mesh        1061897      processed
          lightning.fd            raw_lightning          29755           read
          lightning.fd   lightning_on_MPAS_mesh           1275      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           57.5           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1061897       ingested
      cloudanalysis.fd                lightning           1275       ingested
      cloudanalysis.fd                     refl             33       ingested
