loop1: max_iter=50, norm_reduction(target=0.001, final=0.000919253)
  i                   resNorm                         J                        Jb                      JoJc
  0         1867.810136751328       977168.840888330131            0.000000000000       977168.840888330131
  1         1307.470437740403       972985.189693678287           10.034031893544       972975.155661784695
  2          972.080295021966       970318.466062777326           35.222514822141       970283.243547955179
  3          801.134119280022       968918.860285314731           62.509676122993       968856.350609191693
  4          460.583800255007       967730.614425758715          101.944667853722       967628.669757904951
  5          423.303151858630       966768.360755047528          157.044528556936       966611.316226490540
  6          402.234502662807       966292.191910696565          198.076772578309       966094.115138118272
  7          297.933235659088       965405.487579248729          317.516509495365       965087.971069753403
  8          234.028129514483       964837.870051893173          434.194053986892       964403.675997906248
  9          236.371587039709       964365.556856388226          570.105266640011       963795.451589748263
 10          217.026551651123       964091.951013132581          671.716533253723       963420.234479878913
 11          189.020578749305       963787.671960822772          812.348613047664       962975.323347775149
 12          171.918412648088       963549.685785482754          948.384133482702       962601.301652000053
 13          153.574672258080       963394.341737636714         1053.063030676154       962341.278706960613
 14          135.825255699518       963236.647891548346         1176.286743457822       962060.361148090567
 15          103.113235624705       963131.564997644164         1270.246663028043       961861.318334616139
 16           91.773830912117       963044.453611089033         1357.836953822636       961686.616657266393
 17           81.889448937903       962957.734530043323         1457.102214259505       961500.632315783761
 18           73.904541323150       962907.498164852615         1521.686620315706       961385.811544536962
 19           62.114502077067       962868.466516118147         1576.667482958996       961291.799033159157
 20           49.225623830268       962831.138141393429         1634.486622772119       961196.651518621366
 21           45.141420185398       962807.252516712761         1675.028803576593       961132.223713136162
 22           38.189719658678       962785.265175119275         1715.776496816598       961069.488678302732
 23           34.456222586054       962771.282116536750         1743.924788169994       961027.357328366721
 24           28.362286765006       962760.421956168138         1767.409998334980       960993.011957833194
 25           25.316833945551       962753.216073835501         1784.028634847516       960969.187438988010
 26           21.296205414746       962746.752686585649         1799.900275866918       960946.852410718682
 27           17.906720231947       962742.160344408476         1811.908633548290       960930.251710860175
 28           15.657982482813       962739.211933357874         1820.050113134402       960919.161820223439
 29           13.005330414146       962736.885396269849         1826.803512899317       960910.081883370527
 30           11.680747047568       962734.801405224367         1833.192609965606       960901.608795258799
 31            8.770962509497       962733.399922179873         1837.729097044086       960895.670825135778
 32            7.858411037402       962732.262136175064         1841.612838698274       960890.649297476746
 33            6.326110776187       962731.611958999536         1843.943340844442       960887.668618155061
 34            6.237489657881       962731.156337961787         1845.645414723141       960885.510923238704
 35            5.410776762928       962730.794743033359         1847.052072376114       960883.742670657230
