        observer   n_ioda     nobs   nobs_r  n_loop1  n_loop2       obserr       Jo/n_1       Jo/n_2
        refl10cm  3879971  3879971  3879971  3743766  3743766            5     0.303911     0.303911
     adpsfc_t181     9285      360      360      352      352       0.7528      2.08795      0.82704
     adpsfc_t183     9285      216      216      214      214  3.27836e+09     0.155717    0.0673023
     adpsfc_t187     9285     2015     2015     2015     2015       2.2585     0.242886     0.183852
     adpsfc_q181     9285     3085     3085     3083     3083      939.725    0.0482515    0.0222415
     adpsfc_q183     9285     3299     3299     3295     3295      966.328    0.0196764    0.0101812
     adpsfc_q187     9285     2323     2323     2321     2321      390.699     0.577087     0.309262
    adpsfc_ps181     9285      361      361      359      359      55.5167      1.11552     0.305445
    adpsfc_ps187     9285     1802     1802     1801     1801      55.0221      1.36201     0.330237
    adpsfc_uv281     9285      642      642      634      634      1.72466     0.516893     0.245511
    adpsfc_uv284     9285      428      428      420      420      1.28327     0.957091      0.39184
    adpsfc_uv287     9285     4026     4026     4004     4004       1.5874     0.548901     0.282869
     aircar_t133    32001    13162    13162    13156    13156      1.10276     0.401944     0.200635
     aircar_q133    32001     1308     1308     1308     1308     0.212352     0.317963     0.184632
    aircar_uv233    32001    26488    26488    26482    26482       2.3535     0.546305     0.217501
     sfcshp_t180     3301      698      698      698      698  8.46364e+08    0.0683229    0.0384424
     sfcshp_t183     3301       58       58       58       58  2.62613e+09     0.299169     0.243337
     sfcshp_q180     3301      474      474      474      474   0.00112448     0.443505     0.244296
     sfcshp_q183     3301      312      312      312      312      925.882     0.102142    0.0371489
    sfcshp_ps180     3301     1310     1310     1305     1304      38.2186      3.55846     0.906977
    sfcshp_uv280     3301     2094     2094     2094     2094      2.65021     0.189495     0.110964
    sfcshp_uv282     3301       36       36       36       36      1.07921      1.32004    0.0758126
    sfcshp_uv284     3301      278      278      266      266      1.13109     0.993135     0.334332
