               program              observation         number         status
            larccld.fd                GOES_EAST        1046150           read
            larccld.fd                GOES_WEST         820716           read
           metarcld.fd                raw_METAR           5236           read
           metarcld.fd       METAR_on_MPAS_mesh        1090942      processed
          lightning.fd            raw_lightning          64528           read
          lightning.fd   lightning_on_MPAS_mesh           8510      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           73.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1090942       ingested
      cloudanalysis.fd                lightning           8510       ingested
      cloudanalysis.fd                     refl             33       ingested
