        observer   n_ioda     nobs   nobs_r  n_loop1  n_loop2       obserr       Jo/n_1       Jo/n_2
        refl10cm  3897810  3897810  3897810  3764093  3764093            5     0.356532     0.356532
     adpsfc_t181     8953      359      359      347      347       0.7528      2.85812     0.880277
     adpsfc_t183     8953      213      213      211      211  3.30159e+09     0.172018    0.0762895
     adpsfc_t187     8953     2039     2039     2039     2039       2.2585     0.318897     0.181725
     adpsfc_q181     8953     3058     3058     3056     3056      939.185     0.123527     0.047754
     adpsfc_q183     8953     3269     3269     3265     3265      966.497    0.0336863    0.0118601
     adpsfc_q187     8953     2347     2347     2345     2345      388.694      1.15061     0.383213
    adpsfc_ps181     8953      360      360      358      358      55.7161     0.629832     0.216848
    adpsfc_ps187     8953     1951     1951     1949     1949      54.9651      1.01379      0.28173
    adpsfc_uv281     8953      640      640      632      632      1.72327     0.463356      0.24211
    adpsfc_uv284     8953      422      422      416      416      1.28322     0.912655     0.382718
    adpsfc_uv287     8953     4050     4050     4018     4018       1.5874      0.55333     0.320639
     aircar_t133    25667    10063    10063    10054    10054     0.905383     0.450096     0.218229
     aircar_q133    25667      362      362      362      362    0.0387207     0.381438     0.244241
    aircar_uv233    25667    20314    20314    20280    20280      2.32628     0.573094     0.213413
     sfcshp_t180     3171      662      662      661      661   8.6973e+08    0.0726489    0.0386662
     sfcshp_t183     3171       52       52       52       52  1.96116e+09     0.200651     0.153244
     sfcshp_q180     3171      465      465      464      464   0.00105582     0.795942     0.319981
     sfcshp_q183     3171      318      318      317      317      943.907    0.0763605    0.0514444
    sfcshp_ps180     3171     1265     1265     1258     1258      38.2906      2.72881     0.840573
    sfcshp_uv280     3171     2012     2012     2008     2008      2.65059     0.215671     0.121832
    sfcshp_uv282     3171       34       34       26       26      1.07929      1.05672     0.194695
    sfcshp_uv284     3171      258      258      244      244      1.12402       1.5507     0.713676
