        observer   n_ioda     nobs   nobs_r  n_loop1  n_loop2       obserr       Jo/n_1       Jo/n_2
        refl10cm  3877290  3877290  3877290  3746257  3746257            5     0.285761     0.285761
     adpsfc_t181     9557      585      585      571      571       0.7528      2.34765     0.669026
     adpsfc_t183     9557      217      217      215      215  3.34108e+09    0.0866335    0.0502599
     adpsfc_t187     9557     2114     2114     2109     2109       2.2585      0.21758     0.140819
     adpsfc_q181     9557     3344     3344     3341     3341      907.992    0.0791001     0.046879
     adpsfc_q183     9557     3559     3559     3554     3554      968.601    0.0159803   0.00750016
     adpsfc_q187     9557     2654     2654     2651     2651       467.68     0.470211     0.295976
    adpsfc_ps181     9557      584      584      577      576      55.0498      1.34556     0.485592
    adpsfc_ps187     9557     2003     2003     2003     2003      54.7227      1.67501       0.2927
    adpsfc_uv281     9557     1092     1092     1088     1088      1.70555     0.555686     0.282027
    adpsfc_uv284     9557      430      430      420      420      1.28135       1.2021     0.456708
    adpsfc_uv287     9557     3808     3808     3786     3786       1.5874     0.600733     0.382076
     adpupa_t120    15081     6889     6889     6889     6889      3.26928    0.0539053    0.0229248
     adpupa_q120    15081     3390     3390     3390     3390      1.07129    0.0973983    0.0242979
    adpupa_ps120    15081       43       43       43       43      72.8579      1.17469      0.32289
    adpupa_uv220    15081    16316    16316    16316    16316      2.62923     0.393943     0.127472
     aircar_t133    58071    25068    25068    25046    25046     0.934032     0.324144     0.198343
     aircar_q133    58071     1918     1918     1918     1918     0.257559     0.202225     0.134815
    aircar_uv233    58071    50264    50264    50240    50240      2.32911     0.330973     0.178688
     sfcshp_t180     3145      681      681      680      680  7.66965e+08    0.0894102     0.086328
     sfcshp_t183     3145       48       48       48       48  2.04124e+09     0.233656     0.190431
     sfcshp_q180     3145      477      477      476      476   0.00113271     0.489967     0.324507
     sfcshp_q183     3145      298      298      297      297      943.648     0.426468     0.392494
    sfcshp_ps180     3145      776      776      772      770       38.108      4.17322     0.877645
    sfcshp_uv280     3145     1312     1312     1310     1310      2.64788     0.208724     0.123498
    sfcshp_uv282     3145       36       36       36       36      1.07959     0.774578       0.2892
    sfcshp_uv284     3145      228      228      228      228      1.12968      1.72272     0.705985
