               program              observation         number         status
            larccld.fd                GOES_EAST        1043950           read
            larccld.fd                GOES_WEST         824757           read
           metarcld.fd                raw_METAR           5156           read
           metarcld.fd       METAR_on_MPAS_mesh        1102074      processed
          lightning.fd            raw_lightning          19614           read
          lightning.fd   lightning_on_MPAS_mesh           1981      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           66.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1102074       ingested
      cloudanalysis.fd                lightning           1981       ingested
      cloudanalysis.fd                     refl             33       ingested
