               program              observation         number         status
            larccld.fd                GOES_EAST        1043447           read
            larccld.fd                GOES_WEST         818842           read
           metarcld.fd                raw_METAR           5326           read
           metarcld.fd       METAR_on_MPAS_mesh        1100526      processed
          lightning.fd            raw_lightning          61077           read
          lightning.fd   lightning_on_MPAS_mesh           6994      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           66.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1100526       ingested
      cloudanalysis.fd                lightning           6994       ingested
      cloudanalysis.fd                     refl             33       ingested
