        observer   n_ioda     nobs   nobs_r  n_loop1  n_loop2       obserr       Jo/n_1       Jo/n_2
     adpsfc_t181     9256     3644      489      483      483       0.7528       2.6374     0.756436
     adpsfc_t183     9256     3644      211      209      209  3.24443e+09    0.0906352    0.0385485
     adpsfc_t187     9256     2871     2127     2123     2123       2.2585      0.19813     0.140986
     adpsfc_q181     9256     3574     3320     3317     3317       923.08    0.0830702    0.0511586
     adpsfc_q183     9256     3574     3529     3524     3524      969.215    0.0192182     0.011231
     adpsfc_q187     9256     2826     2574     2571     2571      433.896     0.461429     0.265897
    adpsfc_ps181     9256     7346      490      484      484      55.2449      2.12791     0.404476
    adpsfc_ps187     9256     2917     2010     2010     2010      54.6896      2.56398     0.268742
    adpsfc_uv281     9256     6638      938      930      930      1.70509     0.650076     0.298802
    adpsfc_uv284     9256     8166      418      408      408      1.28938      1.04554     0.372049
    adpsfc_uv287     9256     5276     3846     3836     3836       1.5874     0.655119     0.414758
     adpupa_t120    13350     6270     6270     6270     6270      3.16511    0.0581178    0.0280469
     adpupa_q120    13350     3523     3523     3523     3523     0.815637     0.118491    0.0374568
    adpupa_ps120    13350       35       35       35       35      74.2006      1.57753     0.386308
    adpupa_uv220    13350    14104    14104    14104    14104      2.62412     0.511252     0.138384
     aircar_t133    56058    23968    23968    23957    23957     0.922177      0.30816     0.186049
     aircar_q133    56058     1941     1941     1941     1941     0.355239     0.183432     0.125574
    aircar_uv233    56058    48162    48162    48140    48140      2.32708     0.342315     0.166365
     sfcshp_t180     2952      833      618      614      614  9.88534e+08    0.0832606    0.0704941
     sfcshp_t183     2952      328       47       47       47  1.45865e+09     0.318205     0.290493
     sfcshp_q180     2952      483      405      401      401   0.00120617     0.839307     0.359221
     sfcshp_q183     2952      240      233      229      229      931.267     0.690227     0.618321
    sfcshp_ps180     2952     2938      701      691      689      38.3738      4.88172     0.839043
    sfcshp_uv280     2952     2594     1146     1140     1140      2.65337     0.284441     0.161273
    sfcshp_uv282     2952     2594       30       26       26      1.07929      2.21815     0.268931
    sfcshp_uv284     2952     2594      224      216      216      1.13022       1.4057     0.580284
