        observer   n_ioda     nobs   nobs_r  n_loop1  n_loop2       obserr       Jo/n_1       Jo/n_2
     adpsfc_t181     9009     3483      379      372      372       0.7528       3.2061     0.891457
     adpsfc_t183     9009     3483      211      209      209  3.16983e+09     0.132196    0.0455529
     adpsfc_t187     9009     2710     2080     2078     2078       2.2585     0.274397     0.161876
     adpsfc_q181     9009     3406     3156     3153     3153      937.881     0.112165    0.0517522
     adpsfc_q183     9009     3406     3365     3360     3360      967.738      0.02909    0.0100789
     adpsfc_q187     9009     2665     2417     2414     2414      393.217     0.786027     0.345198
    adpsfc_ps181     9009     6991      380      378      378      55.4526       1.2021     0.293752
    adpsfc_ps187     9009     2756     1898     1898     1898      54.7447      1.40715     0.288555
    adpsfc_uv281     9009     6336      660      656      656      1.72195     0.629826      0.30904
    adpsfc_uv284     9009     8034      418      408      408      1.28496     0.857767     0.409348
    adpsfc_uv287     9009     4972     3820     3818     3818       1.5874     0.577563     0.370334
     adpupa_t120       98       39       39       39       39      1.45726     0.358004      0.25707
     adpupa_q120       98       21       21       21       21    0.0016498    0.0632354    0.0556193
    adpupa_ps120       98        1        1        1        1      71.0443     0.108033     0.017515
    adpupa_uv220       98      114      114      114      114      2.61149     0.470699     0.305325
     aircar_t133    57997    25142    25142    25132    25132     0.939891     0.384546     0.213047
     aircar_q133    57997     2101     2101     2101     2101      0.42119     0.220513     0.128507
    aircar_uv233    57997    50754    50754    50720    50720      2.33003     0.440774      0.19374
     sfcshp_t180     3055      815      622      621      621  8.02572e+08     0.124001    0.0648895
     sfcshp_t183     3055      370       49       48       48  2.04124e+09      0.17242     0.177811
     sfcshp_q180     3055      489      408      407      407   0.00110379      1.07722     0.417134
     sfcshp_q183     3055      275      267      266      266      938.985    0.0344044    0.0483346
    sfcshp_ps180     3055     3038     1219     1214     1212      38.3732      3.35076     0.754187
    sfcshp_uv280     3055     2634     1966     1964     1964       2.6526     0.341775     0.186465
    sfcshp_uv282     3055     2634       32       32       32      1.07924      2.26082      0.29225
    sfcshp_uv284     3055     2634      250      248      248      1.12621      1.54079      0.53012
