loop1: max_iter=50, norm_reduction(target=0.001, final=0.00402949)
  i                   resNorm                         J                        Jb                      JoJc
  0         1733.219419718896        48512.009242388973            0.000000000000        48512.009242388973
  1         1408.954013360363        42284.175137880993           25.822421966579        42258.352715914407
  2         1165.811375904212        39467.699349526687           62.451385182339        39405.247964344358
  3         1237.537216585953        37350.573973381412          114.058070524246        37236.515902857172
  4          852.787768731380        35615.829805460751          181.287351153898        35434.542454306851
  5          835.371194139476        33955.096487340677          278.330674389788        33676.765812950893
  6          608.171900599827        32861.048182366278          367.392942626478        32493.655239739812
  7          576.146022040276        31341.986947050151          543.491148874994        30798.495798175161
  8          543.690865224399        30582.768040685201          661.742700199173        29921.025340486030
  9          549.117716564061        29845.342827611621          804.006865887287        29041.335961724330
 10          413.374247311255        29066.460491611939          991.674528457878        28074.785963154060
 11          447.985102469321        28555.079264154108         1140.976164650135        27414.103099503980
 12          411.520737332831        28026.044502233610         1323.871589262518        26702.172912971091
 13          324.749381685940        27601.988706978831         1495.460476493139        26106.528230485699
 14          346.160562261294        27235.506669888171         1666.110135888726        25569.396533999450
 15          259.825330009267        26899.717324300142         1844.946439784020        25054.770884516121
 16          302.902268351252        26692.203533385378         1968.469789690402        24723.733743694971
 17          240.692250406879        26442.825776500820         2133.497257736515        24309.328518764309
 18          227.045883470857        26210.137529556810         2306.787244089435        23903.350285467379
 19          215.773995906253        26019.872318353780         2465.176272871323        23554.696045482458
 20          184.754700322405        25885.895024752459         2587.416998213882        23298.478026538582
 21          174.266047101645        25749.863620763510         2722.596789194428        23027.266831569079
 22          159.668138547001        25656.274864004081         2823.275128207177        22832.999735796900
 23          133.861111527831        25556.811330679731         2938.656750024397        22618.154580655329
 24          113.623133251422        25468.663312488119         3049.628466358254        22419.034846129860
 25          111.588980043390        25392.546440225819         3153.681473051789        22238.864967174031
 26           93.773967241143        25336.770642867439         3235.879874129030        22100.890768738409
 27           89.887736818910        25286.931635780489         3314.640727076067        21972.290908704421
 28           80.420123675918        25252.592960657232         3372.462258412068        21880.130702245158
 29           67.492031920685        25223.497407501080         3424.257897860621        21799.239509640462
 30           65.918630783904        25199.340852856269         3469.686226123954        21729.654626732321
 31           59.930300459012        25179.471666578869         3509.092426784577        21670.379239794300
 32           52.156976193633        25162.558835310450         3544.402924371419        21618.155910939029
 33           48.011417735407        25149.697866452821         3572.578776397505        21577.119090055319
 34           42.463600679653        25137.673559011590         3600.207334457445        21537.466224554151
 35           36.318327368381        25128.215526067150         3623.002613334164        21505.212912732990
 36           37.628819345790        25119.727111825599         3644.462025794076        21475.265086031530
 37           29.803557740008        25113.417119122609         3661.158686170909        21452.258432951701
 38           27.563410219021        25108.044523056629         3675.991194713947        21432.053328342681
 39           24.642082598727        25103.842209275419         3688.083305216978        21415.758904058439
 40           22.263300919508        25100.453485998689         3698.223710514944        21402.229775483749
 41           20.393663728266        25098.044837099231         3705.691590115488        21392.353246983741
 42           17.185506260119        25095.993346460371         3712.264468959636        21383.728877500740
 43           14.905238025480        25094.114494928861         3718.498680023678        21375.615814905181
 44           14.220391388595        25092.876324780289         3722.746574825781        21370.129749954511
 45           13.267219607879        25091.905123887180         3726.177101604239        21365.728022282939
 46           11.189237038604        25090.938597408531         3729.698125936182        21361.240471472349
 47            9.926177432965        25090.268609613810         3732.214931320681        21358.053678293130
 48            8.884712726899        25089.662996853960         3734.558236213326        21355.104760640639
 49            7.478826287699        25089.168188569070         3736.532969340443        21352.635219228629
 50            6.983996132258        25088.797334071551         3738.057882238219        21350.739451833331

loop2: max_iter=50, norm_reduction(target=0.001, final=0.00459201)
  i                   resNorm                         J                        Jb                      JoJc
  0           79.886570183946        25037.677103593069         3738.057882238219        21299.619221354849
  1          103.411881054594        25010.983878849849         3740.390407550820        21270.593471299031
  2           62.090784792529        25002.415129726691         3741.368747000149        21261.046382726541
  3           52.944627551194        24997.165108278841         3742.103307283563        21255.061800995281
  4           31.918085532639        24992.103503723662         3743.113077468470        21248.990426255190
  5           32.402473401383        24989.340724040791         3744.349924280395        21244.990799760399
  6           29.954160896319        24987.161131168181         3745.736237107833        21241.424894060339
  7           23.871495463401        24985.622052146231         3746.901934207764        21238.720117938461
  8           22.093003096290        24983.956408079990         3748.479474501580        21235.476933578411
  9           21.081382903161        24982.537522493411         3750.065964175683        21232.471558317720
 10           18.106479036021        24981.641223634932         3751.192017802812        21230.449205832119
 11           16.356599916587        24980.609416369189         3752.573263686617        21228.036152682580
 12           15.969971739780        24979.857276869749         3753.784349243856        21226.072927625901
 13           13.171896347897        24979.283946560830         3754.768244747780        21224.515701813049
 14           13.988707083859        24978.615527543920         3755.923870316804        21222.691657227118
 15           11.677143940290        24978.091197217342         3756.883400673015        21221.207796544331
 16           11.748906415644        24977.644261852682         3757.811361543360        21219.832900309320
 17           10.800252490638        24977.299119632891         3758.541569450491        21218.757550182399
 18           10.376526647123        24976.957344026050         3759.246763271967        21217.710580754079
 19            8.927912061135        24976.623476526711         3759.936532189959        21216.686944336750
 20            7.963664613108        24976.319590041130         3760.643269641208        21215.676320399929
 21            7.474267791101        24975.986890660530         3761.533677233085        21214.453213427441
 22            6.850715213958        24975.742840312181         3762.235975237455        21213.506865074731
 23            6.761467633208        24975.557902050790         3762.723977050362        21212.833925000428
 24            5.747514458729        24975.395768800310         3763.132266061990        21212.263502738311
 25            5.239350431695        24975.228192477000         3763.583682381424        21211.644510095579
 26            5.230564235582        24975.101441492690         3763.966780534648        21211.134660958040
 27            4.163460953531        24974.994506959199         3764.254219386188        21210.740287573011
 28            4.093323229186        24974.888310179729         3764.568143900723        21210.320166279009
 29            3.711094589304        24974.808306373769         3764.816976632865        21209.991329740900
 30            3.196440942854        24974.737203928991         3765.012650502967        21209.724553426018
 31            3.023781549582        24974.683594244780         3765.144022301093        21209.539571943678
 32            2.629062034747        24974.638270124309         3765.258569959256        21209.379700165049
 33            2.501900882105        24974.596849498521         3765.376683168143        21209.220166330379
 34            2.077214532359        24974.565543498520         3765.477138594673        21209.088404903840
 35            2.073118815147        24974.540054014629         3765.584215564655        21208.955838449969
 36            1.682269761283        24974.517345298900         3765.714467462145        21208.802877836759
 37            1.661840738159        24974.501320647869         3765.818844233438        21208.682476414429
 38            1.412577712261        24974.488260010839         3765.931984060271        21208.556275950570
 39            1.276067000791        24974.478317056932         3766.045508970959        21208.432808085970
 40            1.239288992471        24974.470144373190         3766.159177525481        21208.310966847708
 41            0.980809132476        24974.463088867979         3766.281814681734        21208.181274186241
 42            0.957690048859        24974.457159625312         3766.430779997482        21208.026379627830
 43            0.800500909546        24974.452070062562         3766.594636624311        21207.857433438250
 44            0.743536797261        24974.448667292170         3766.731518142857        21207.717149149310
 45            0.688941839844        24974.445745808142         3766.880227393803        21207.565518414340
 46            0.579947785337        24974.443088001910         3767.047409174675        21207.395678827230
 47            0.515750110171        24974.441094128419         3767.204508152451        21207.236585975970
 48            0.493240057710        24974.439613098639         3767.351173305880        21207.088439792758
 49            0.430676076551        24974.438528628631         3767.490649161471        21206.947879467160
 50            0.366839675256        24974.437551830481         3767.648473028987        21206.789078801488

