               program              observation         number         status
            larccld.fd                GOES_EAST        1040335           read
            larccld.fd                GOES_WEST         821691           read
           metarcld.fd                raw_METAR           5544           read
           metarcld.fd       METAR_on_MPAS_mesh        1111730      processed
          lightning.fd            raw_lightning          37403           read
          lightning.fd   lightning_on_MPAS_mesh           4395      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           64.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1111730       ingested
      cloudanalysis.fd                lightning           4395       ingested
      cloudanalysis.fd                     refl             33       ingested
