               program              observation         number         status
            larccld.fd                GOES_EAST        1045715           read
            larccld.fd                GOES_WEST         824264           read
           metarcld.fd                raw_METAR           5537           read
           metarcld.fd       METAR_on_MPAS_mesh        1119646      processed
          lightning.fd            raw_lightning          21842           read
          lightning.fd   lightning_on_MPAS_mesh           2499      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           58.5           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1119646       ingested
      cloudanalysis.fd                lightning           2499       ingested
      cloudanalysis.fd                     refl             33       ingested
