               program              observation         number         status
            larccld.fd                GOES_EAST        1040199           read
            larccld.fd                GOES_WEST         820603           read
           metarcld.fd                raw_METAR           7383           read
           metarcld.fd       METAR_on_MPAS_mesh        1102323      processed
          lightning.fd            raw_lightning          52653           read
          lightning.fd   lightning_on_MPAS_mesh           6298      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           67.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1102323       ingested
      cloudanalysis.fd                lightning           6298       ingested
      cloudanalysis.fd                     refl             33       ingested
