               program              observation         number         status
            larccld.fd                GOES_EAST        1044087           read
            larccld.fd                GOES_WEST         820182           read
           metarcld.fd                raw_METAR           5212           read
           metarcld.fd       METAR_on_MPAS_mesh        1056337      processed
          lightning.fd            raw_lightning          32897           read
          lightning.fd   lightning_on_MPAS_mesh           2835      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           73.5           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1056337       ingested
      cloudanalysis.fd                lightning           2835       ingested
      cloudanalysis.fd                     refl             33       ingested
