               program              observation         number         status
            larccld.fd                GOES_EAST        1035111           read
            larccld.fd                GOES_WEST         825906           read
           metarcld.fd                raw_METAR           7556           read
           metarcld.fd       METAR_on_MPAS_mesh        1095480      processed
          lightning.fd            raw_lightning          54705           read
          lightning.fd   lightning_on_MPAS_mesh           5885      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           67.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1095480       ingested
      cloudanalysis.fd                lightning           5885       ingested
      cloudanalysis.fd                     refl             33       ingested
