               program              observation         number         status
            larccld.fd                GOES_EAST        1049099           read
            larccld.fd                GOES_WEST         819517           read
           metarcld.fd                raw_METAR           4953           read
           metarcld.fd       METAR_on_MPAS_mesh        1110173      processed
          lightning.fd            raw_lightning          13775           read
          lightning.fd   lightning_on_MPAS_mesh           1053      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           58.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1110173       ingested
      cloudanalysis.fd                lightning           1053       ingested
      cloudanalysis.fd                     refl             33       ingested
