               program              observation         number         status
            larccld.fd                GOES_EAST        1045977           read
            larccld.fd                GOES_WEST         827842           read
           metarcld.fd                raw_METAR           5716           read
           metarcld.fd       METAR_on_MPAS_mesh        1064476      processed
          lightning.fd            raw_lightning          28365           read
          lightning.fd   lightning_on_MPAS_mesh            916      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           64.5           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1064476       ingested
      cloudanalysis.fd                lightning            916       ingested
      cloudanalysis.fd                     refl             33       ingested
