               program              observation         number         status
            larccld.fd                GOES_EAST        1042690           read
            larccld.fd                GOES_WEST         825624           read
           metarcld.fd                raw_METAR           6994           read
           metarcld.fd       METAR_on_MPAS_mesh        1101024      processed
          lightning.fd            raw_lightning          52023           read
          lightning.fd   lightning_on_MPAS_mesh           8131      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           67.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1101024       ingested
      cloudanalysis.fd                lightning           8131       ingested
      cloudanalysis.fd                     refl             33       ingested
