               program              observation         number         status
            larccld.fd                GOES_EAST        1049412           read
            larccld.fd                GOES_WEST         825108           read
           metarcld.fd                raw_METAR           4651           read
           metarcld.fd       METAR_on_MPAS_mesh        1061585      processed
          lightning.fd            raw_lightning          51536           read
          lightning.fd   lightning_on_MPAS_mesh           6151      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           69.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1061585       ingested
      cloudanalysis.fd                lightning           6151       ingested
      cloudanalysis.fd                     refl             33       ingested
