loop1: max_iter=50, norm_reduction(target=0.001, final=0.000978534)
  i                   resNorm                         J                        Jb                      JoJc
  0         1677.282731557090      1197083.808708159951            0.000000000000      1197083.808708159951
  1          809.301788838732      1193666.230461480096            8.303369750662      1193657.927091728896
  2          696.448972963319      1191849.308550318005           29.559541901859      1191819.749008415965
  3          599.440679895369      1190580.173852256034           65.792752742606      1190514.381099513965
  4          424.737874685082      1189494.046210834058          123.545213844746      1189370.500996988965
  5          356.196525600369      1188361.862712803064          231.747143731460      1188130.115569072077
  6          336.749084312037      1187620.604115013033          345.329098625766      1187275.275016387925
  7          306.030800943664      1187060.904906182084          465.962730934709      1186594.942175247939
  8          370.057580731803      1186705.332098938059          564.156759547667      1186141.175339390989
  9          240.142598814081      1186405.525360567030          663.843807762762      1185741.681552805007
 10          236.514524540696      1186078.785959163914          795.411515247782      1185283.374443915905
 11          200.881843128137      1185820.590698491083          921.181357477150      1184899.409341013990
 12          164.325430135350      1185622.352975897025         1034.562211046976      1184587.790764851030
 13          140.197182611602      1185397.499146573013         1187.259451266455      1184210.239695305936
 14          126.500611268660      1185235.629572856007         1317.876576077152      1183917.752996779047
 15          112.257662770891      1185123.313262976008         1422.085932677357      1183701.227330297930
 16           98.827229137336      1185014.374355769018         1537.451068445610      1183476.923287322978
 17           80.390824367755      1184947.295254535042         1617.359507090124      1183329.935747445095
 18           70.844883111777      1184882.882316973992         1702.813854561088      1183180.068462413037
 19           63.353788138068      1184838.536962833023         1768.156823602229      1183070.380139230983
 20           56.203246691196      1184810.279564634897         1813.446093150017      1182996.833471484948
 21           43.971567167444      1184782.955641326960         1860.877573648034      1182922.078067678958
 22           39.716298544727      1184761.726940217894         1900.995575449305      1182860.731364767998
 23           37.102652351307      1184747.286041866057         1930.483043989046      1182816.802997876890
 24           30.731254578501      1184737.842761127045         1951.027440836952      1182786.815320289927
 25           28.321244997548      1184729.331416056957         1970.686924352462      1182758.644491705112
 26           23.952933736247      1184723.099883110030         1985.966542696549      1182737.133340413915
 27           18.820540389348      1184718.208014745032         1998.647867613233      1182719.560147132026
 28           16.908208941854      1184714.478171309922         2008.863924596604      1182705.614246713929
 29           16.829265718189      1184711.882346960949         2016.352993726408      1182695.529353233986
 30           12.729755684664      1184710.067223158898         2021.830842287507      1182688.236380870920
 31           10.549571254806      1184708.173399954103         2027.831202832225      1182680.342197120888
 32            8.432302865138      1184706.841314888094         2032.283964316345      1182674.557350571966
 33            7.522123871737      1184705.943562054075         2035.436844405901      1182670.506717647891
 34            5.993272099833      1184705.253284188919         2037.979552430657      1182667.273731759051
 35            5.600286092746      1184704.749371733982         2039.926966254441      1182664.822405478917
 36            4.301479171384      1184704.433947297046         2041.199781994718      1182663.234165302012
 37            3.885307611867      1184704.198520383099         2042.187877416343      1182662.010642966023
 38            2.801760248729      1184704.001382356975         2043.050745910177      1182660.950636446942
 39            2.505284623839      1184703.875216204906         2043.626937031421      1182660.248279172927
 40            2.245911392061      1184703.799660834018         2043.985133889739      1182659.814526943956
 41            1.641278653996      1184703.736293138005         2044.296487766083      1182659.439805370988

loop2: max_iter=50, norm_reduction(target=0.001, final=0.000964294)
  i                   resNorm                         J                        Jb                      JoJc
  0           78.815174502214      1184590.992136365036         2044.296487766083      1182546.695648598950
  1           36.085383477677      1184583.468041189946         2044.725699157244      1182538.742342032958
  2           50.086187594672      1184575.215146841016         2045.881787423530      1182529.333359417971
  3           46.835609629650      1184568.530155353947         2047.316143838320      1182521.214011515956
  4           33.384263961181      1184562.166774674086         2049.242084550344      1182512.924690124113
  5           31.321015362867      1184559.703826898010         2050.320777542501      1182509.383049354888
  6           30.317398907990      1184555.552955393912         2052.073033128008      1182503.479922265979
  7           21.695154617788      1184552.428822383052         2053.952679385357      1182498.476142996922
  8           23.474602335417      1184546.033308242913         2059.173486600987      1182486.859821642051
  9           19.522786568467      1184544.016098848078         2060.738700416565      1182483.277398430975
 10           13.483904786347      1184541.335168245947         2062.931696705409      1182478.403471540892
 11           16.036127227112      1184538.893146273913         2065.272651434041      1182473.620494839968
