               program              observation         number         status
            larccld.fd                GOES_EAST        1048897           read
            larccld.fd                GOES_WEST         829071           read
           metarcld.fd                raw_METAR           4771           read
           metarcld.fd       METAR_on_MPAS_mesh        1056044      processed
          lightning.fd            raw_lightning          51361           read
          lightning.fd   lightning_on_MPAS_mesh           5353      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           63.5           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1056044       ingested
      cloudanalysis.fd                lightning           5353       ingested
      cloudanalysis.fd                     refl             33       ingested
