               program              observation         number         status
            larccld.fd                GOES_EAST        1046819           read
            larccld.fd                GOES_WEST         827612           read
           metarcld.fd                raw_METAR           5774           read
           metarcld.fd       METAR_on_MPAS_mesh        1050962      processed
          lightning.fd            raw_lightning          52965           read
          lightning.fd   lightning_on_MPAS_mesh           1093      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           56.5           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1050962       ingested
      cloudanalysis.fd                lightning           1093       ingested
      cloudanalysis.fd                     refl             33       ingested
