               program              observation         number         status
            larccld.fd                GOES_EAST        1044594           read
            larccld.fd                GOES_WEST         828095           read
           metarcld.fd                raw_METAR           5837           read
           metarcld.fd       METAR_on_MPAS_mesh        1058796      processed
          lightning.fd            raw_lightning          24807           read
          lightning.fd   lightning_on_MPAS_mesh           3323      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           61.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1058796       ingested
      cloudanalysis.fd                lightning           3323       ingested
      cloudanalysis.fd                     refl             33       ingested
