               program              observation         number         status
            larccld.fd                GOES_EAST        1045365           read
            larccld.fd                GOES_WEST         827626           read
           metarcld.fd                raw_METAR           5822           read
           metarcld.fd       METAR_on_MPAS_mesh        1056578      processed
          lightning.fd            raw_lightning          46953           read
          lightning.fd   lightning_on_MPAS_mesh            756      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           56.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1056578       ingested
      cloudanalysis.fd                lightning            756       ingested
      cloudanalysis.fd                     refl             33       ingested
