               program              observation         number         status
            larccld.fd                GOES_EAST        1043981           read
            larccld.fd                GOES_WEST         823970           read
           metarcld.fd                raw_METAR           5128           read
           metarcld.fd       METAR_on_MPAS_mesh        1099360      processed
          lightning.fd            raw_lightning          42433           read
          lightning.fd   lightning_on_MPAS_mesh           4341      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           70.5           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1099360       ingested
      cloudanalysis.fd                lightning           4341       ingested
      cloudanalysis.fd                     refl             33       ingested
