               program              observation         number         status
            larccld.fd                GOES_EAST        1043370           read
            larccld.fd                GOES_WEST         825034           read
           metarcld.fd                raw_METAR           7308           read
           metarcld.fd       METAR_on_MPAS_mesh        1090191      processed
          lightning.fd            raw_lightning          19640           read
          lightning.fd   lightning_on_MPAS_mesh            822      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           57.5           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1090191       ingested
      cloudanalysis.fd                lightning            822       ingested
      cloudanalysis.fd                     refl             33       ingested
