loop1: max_iter=50, norm_reduction(target=0.001, final=0.000996067)
  i                   resNorm                         J                        Jb                      JoJc
  0          915.832106378531      1254079.162766488036            0.000000000000      1254079.162766488036
  1          893.127193553867      1252398.114347463939            6.738429852152      1252391.375917612109
  2          546.483155345321      1250647.314170483965           35.769289681404      1250611.544880802045
  3          442.445108649395      1249601.655143660028           74.734605774346      1249526.920537885977
  4          409.567819916086      1248605.031746732071          145.608039186612      1248459.423707545036
  5          352.144326070949      1248136.421784891980          196.522867836179      1247939.898917055922
  6          265.072105801956      1247300.720309735043          335.350716176615      1246965.369593559066
  7          249.236507313355      1246887.488567444962          434.588825290153      1246452.899742155103
  8          224.741968805976      1246460.248134844005          571.191852123892      1245889.056282720063
  9          220.452302922604      1246171.897008752916          689.483992015986      1245482.413016736973
 10          161.626290317292      1245907.305754082976          822.872293062783      1245084.433461020002
 11          123.512834981393      1245663.719019782031          973.890368687961      1244689.828651094111
 12          108.431757505341      1245476.779015596025         1115.925827214317      1244360.853188381996
 13          106.082205859639      1245349.911543288035         1230.938714834038      1244118.972828454105
 14           89.503935983317      1245261.708612245042         1323.077028446283      1243938.631583798910
 15           69.136067204410      1245185.803821365116         1413.108934878696      1243772.694886486046
 16           61.146394388992      1245129.744022985920         1488.288756993744      1243641.455265993020
 17           54.185025707424      1245088.237410855014         1550.602993825842      1243537.634417029098
 18           44.279248987665      1245059.738147265976         1597.832460033706      1243461.905687232036
 19           34.243107874348      1245033.104867147980         1646.556347927493      1243386.548519220902
 20           28.282926299145      1245014.090366047109         1685.127817088420      1243328.962548957905
 21           24.516454574411      1245003.278266401030         1709.080214522603      1243294.198051878018
 22           22.119601580083      1244995.347447867971         1728.026807466830      1243267.320640401915
 23           18.090202747821      1244989.926400519907         1741.907262828220      1243248.019137691008
 24           15.152028650558      1244986.098346723011         1752.339177547456      1243233.759169175988
 25           11.714950279677      1244983.142220084090         1760.899953548457      1243222.242266535060
 26            9.443500253762      1244980.913422212936         1767.774599272032      1243213.138822941110
 27            8.366230981289      1244979.300418195082         1773.085000297411      1243206.215417897096
 28            6.681604808897      1244978.293069087900         1776.607537076794      1243201.685532011092
 29            5.831376055063      1244977.683484242065         1778.850100069862      1243198.833384172060
 30            4.673256930328      1244977.264935333049         1780.460623036510      1243196.804312295979
 31            3.958676585149      1244976.955915651051         1781.703241802550      1243195.252673848066
 32            3.258773508960      1244976.706259192899         1782.755674225781      1243193.950584966922
 33            2.546306234447      1244976.557711856905         1783.410788829573      1243193.146923027001
 34            2.107635842998      1244976.450446480885         1783.904044270018      1243192.546402211068
 35            1.655879770618      1244976.366092223907         1784.309942124861      1243192.056150099030
 36            1.374084210092      1244976.313578733942         1784.574453795578      1243191.739124937914
 37            1.053921033489      1244976.278616538038         1784.758260987656      1243191.520355550107
 38            0.912230590363      1244976.259195405990         1784.864374506001      1243191.394820899935

loop2: max_iter=50, norm_reduction(target=0.001, final=0.000903264)
  i                   resNorm                         J                        Jb                      JoJc
  0           24.912472386777      1245035.920836983016         1784.864374506001      1243251.056462476961
  1           28.589076424657      1245023.080337949097         1784.037641326456      1243239.042696622899
  2           38.121603751781      1245018.221280348022         1783.696752349930      1243234.524527999107
  3           24.547381576792      1245016.089650545036         1783.546384539383      1243232.543266005116
  4           27.973965088554      1245013.691475918982         1783.458472761531      1243230.233003156958
  5           22.570818915869      1245010.424478353932         1783.293114716832      1243227.131363637978
  6           18.998524058568      1245008.922112426022         1783.310923494111      1243225.611188930925
  7           12.689997909513      1245006.386180265108         1783.728724490270      1243222.657455774024
  8           15.962760249065      1245004.412850392051         1784.232444899004      1243220.180405492894
  9           12.494535304014      1245003.159459647955         1784.696296322611      1243218.463163326029
 10           12.190452127227      1245002.053033435950         1785.114323905264      1243216.938709530979
 11            9.929456626656      1245001.369170679012         1785.462061733271      1243215.907108946005
 12            6.959681011483      1245000.517795399996         1785.982518674289      1243214.535276724957
 13            8.724707831478      1244999.868428308982         1786.170639401859      1243213.697788906982
 14            5.930671060601      1244999.246692474000         1786.575255655685      1243212.671436818084
 15            6.371442810966      1244998.823741480010         1786.758602410231      1243212.065139069920
 16            4.153133980204      1244998.561077472987         1786.766121113061      1243211.794956360012
 17            3.812080534980      1244998.259187937947         1786.852443011090      1243211.406744926935
 18            3.336313278112      1244998.081864485983         1786.932630083572      1243211.149234401993
 19            2.865597046568      1244997.926806635922         1786.939254319205      1243210.987552317092
 20            2.425256920247      1244997.834896598011         1786.998348377573      1243210.836548219901
 21            2.054226854213      1244997.763766648946         1787.032166835724      1243210.731599814026
 22            1.726283855558      1244997.715507907094         1787.095414154679      1243210.620093753096
 23            1.525900024687      1244997.680989935994         1787.160224065752      1243210.520765871042
 24            1.350658163767      1244997.655320629012         1787.181817322049      1243210.473503306974
 25            1.070747339862      1244997.634753768099         1787.221627732058      1243210.413126036059
 26            0.897326338359      1244997.621071242029         1787.227240305545      1243210.393830937101
 27            0.772714098408      1244997.608553641941         1787.255222783696      1243210.353330858983
 28            0.592629562357      1244997.601316178916         1787.254780419782      1243210.346535759978
