               program              observation         number         status
            larccld.fd                GOES_EAST        1046365           read
            larccld.fd                GOES_WEST         826827           read
           metarcld.fd                raw_METAR           5537           read
           metarcld.fd       METAR_on_MPAS_mesh        1062291      processed
          lightning.fd            raw_lightning          37055           read
          lightning.fd   lightning_on_MPAS_mesh           2693      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           68.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1062291       ingested
      cloudanalysis.fd                lightning           2693       ingested
      cloudanalysis.fd                     refl             33       ingested
