               program              observation         number         status
            larccld.fd                GOES_EAST        1052206           read
            larccld.fd                GOES_WEST         820982           read
           metarcld.fd                raw_METAR           5509           read
           metarcld.fd       METAR_on_MPAS_mesh        1061496      processed
          lightning.fd            raw_lightning          27357           read
          lightning.fd   lightning_on_MPAS_mesh           2531      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           62.5           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1061496       ingested
      cloudanalysis.fd                lightning           2531       ingested
      cloudanalysis.fd                     refl             33       ingested
