        observer   n_ioda     nobs   nobs_r  n_loop1  n_loop2       obserr       Jo/n_1       Jo/n_2
        refl10cm  3918572  3918572  3918572  3784882  3784882            5     0.289696     0.289696
     adpsfc_t181     9521      580      580      569      569       0.7528      2.34103     0.652834
     adpsfc_t183     9521      216      216      214      214   3.2063e+09    0.0801396    0.0372075
     adpsfc_t187     9521     2126     2126     2123     2123       2.2585     0.216744      0.13472
     adpsfc_q181     9521     3350     3350     3346     3346      908.955    0.0665863    0.0390766
     adpsfc_q183     9521     3564     3564     3558     3558      968.781    0.0138713   0.00709549
     adpsfc_q187     9521     2658     2658     2654     2654        465.4     0.464576     0.281472
    adpsfc_ps181     9521      579      579      572      572      54.9539      2.19157     0.513894
    adpsfc_ps187     9521     2006     2006     2005     2005      54.8084       1.8841     0.281036
    adpsfc_uv281     9521     1092     1092     1088     1088      1.70433     0.629027     0.353872
    adpsfc_uv284     9521      428      428      424      424      1.28028      1.16665     0.513655
    adpsfc_uv287     9521     4002     4002     3992     3992       1.5874       0.7051     0.436179
     adpupa_t120    12777     5945     5945     5945     5945      3.21082    0.0601592    0.0283511
     adpupa_q120    12777     3208     3208     3208     3208     0.903827     0.105555    0.0319788
    adpupa_ps120    12777       37       37       37       37      74.0165      1.00589     0.158977
    adpupa_uv220    12777    13596    13596    13596    13596      2.62851     0.504697     0.144227
     aircar_t133    54917    24122    24122    24108    24108     0.973738     0.361302     0.203144
     aircar_q133    54917     1949     1949     1949     1949     0.724589     0.213702     0.140347
    aircar_uv233    54917    48472    48472    48444    48444      2.33528     0.397565     0.205116
     sfcshp_t180     3144      688      688      687      687  6.60819e+08    0.0651647    0.0468239
     sfcshp_t183     3144       50       50       49       49  2.02031e+09    0.0266482    0.0367826
     sfcshp_q180     3144      487      487      486      486   0.00113471     0.726484     0.296345
     sfcshp_q183     3144      306      306      305      305      943.409     0.902716     0.832706
    sfcshp_ps180     3144      783      783      776      776       38.075      3.84295      0.70408
    sfcshp_uv280     3144     1306     1306     1304     1304      2.64807       0.2719     0.154387
    sfcshp_uv282     3144       32       32       32       32      1.07924     0.693969     0.290391
    sfcshp_uv284     3144      228      228      208      208      1.13316      2.34308     0.978842
