               program              observation         number         status
            larccld.fd                GOES_EAST        1037151           read
            larccld.fd                GOES_WEST         822856           read
           metarcld.fd                raw_METAR           5736           read
           metarcld.fd       METAR_on_MPAS_mesh        1099395      processed
          lightning.fd            raw_lightning          19290           read
          lightning.fd   lightning_on_MPAS_mesh           2414      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           62.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1099395       ingested
      cloudanalysis.fd                lightning           2414       ingested
      cloudanalysis.fd                     refl             33       ingested
