        observer   n_ioda     nobs   nobs_r  n_loop1  n_loop2       obserr       Jo/n_1       Jo/n_2
        refl10cm  3903754  3903754  3903754  3769984  3769984            5     0.296415     0.296415
     adpsfc_t181     9102      364      364      353      353       0.7528      2.52194     0.916189
     adpsfc_t183     9102      211      211      209      209  3.31735e+09     0.123112    0.0594741
     adpsfc_t187     9102     2010     2010     2010     2010       2.2585     0.282056     0.183441
     adpsfc_q181     9102     3149     3149     3147     3147      940.125     0.121406     0.028963
     adpsfc_q183     9102     3357     3357     3353     3353      967.826     0.048246    0.0117701
     adpsfc_q187     9102     2320     2320     2318     2318      393.695      1.18197     0.356352
    adpsfc_ps181     9102      365      365      362      362      55.7352     0.876023     0.255205
    adpsfc_ps187     9102     1913     1913     1913     1913      54.9789     0.984562     0.253579
    adpsfc_uv281     9102      650      650      644      644      1.72304     0.872167     0.414154
    adpsfc_uv284     9102      418      418      400      400       1.2883     0.956589     0.444661
    adpsfc_uv287     9102     3998     3998     3986     3986       1.5874      0.47522     0.281694
     aircar_t133    47036    19807    19807    19804    19804     0.963751     0.594972     0.242427
     aircar_q133    47036     1811     1811     1811     1811     0.208961     0.222738     0.155556
    aircar_uv233    47036    39952    39952    39892    39892      2.33422     0.674053     0.253645
     sfcshp_t180     3024      666      666      665      665   6.7166e+08    0.0742724    0.0442813
     sfcshp_t183     3024       49       49       47       47  1.45865e+09     0.122899    0.0947309
     sfcshp_q180     3024      446      446      445      445   0.00107761     0.610164     0.217395
     sfcshp_q183     3024      310      310      309      309      942.438     0.210406     0.192041
    sfcshp_ps180     3024      758      758      753      753       38.068      2.73299     0.821225
    sfcshp_uv280     3024     1226     1226     1224     1224      2.65016     0.190508     0.114143
    sfcshp_uv282     3024       24       24       24       24      1.07988      0.69724     0.380165
    sfcshp_uv284     3024      220      220      220      220      1.12906      1.14846     0.585198
