               program              observation         number         status
            larccld.fd                GOES_EAST        1046067           read
            larccld.fd                GOES_WEST         822884           read
           metarcld.fd                raw_METAR           5327           read
           metarcld.fd       METAR_on_MPAS_mesh        1063083      processed
          lightning.fd            raw_lightning          24169           read
          lightning.fd   lightning_on_MPAS_mesh           3234      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           61.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1063083       ingested
      cloudanalysis.fd                lightning           3234       ingested
      cloudanalysis.fd                     refl             33       ingested
