               program              observation         number         status
            larccld.fd                GOES_EAST        1039943           read
            larccld.fd                GOES_WEST         823046           read
           metarcld.fd                raw_METAR           5263           read
           metarcld.fd       METAR_on_MPAS_mesh        1099953      processed
          lightning.fd            raw_lightning          20048           read
          lightning.fd   lightning_on_MPAS_mesh           2275      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           61.5           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1099953       ingested
      cloudanalysis.fd                lightning           2275       ingested
      cloudanalysis.fd                     refl             33       ingested
