               program              observation         number         status
            larccld.fd                GOES_EAST        1040054           read
            larccld.fd                GOES_WEST         825983           read
           metarcld.fd                raw_METAR           5300           read
           metarcld.fd       METAR_on_MPAS_mesh        1054651      processed
          lightning.fd            raw_lightning          27817           read
          lightning.fd   lightning_on_MPAS_mesh           2004      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           61.5           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1054651       ingested
      cloudanalysis.fd                lightning           2004       ingested
      cloudanalysis.fd                     refl             33       ingested
