               program              observation         number         status
            larccld.fd                GOES_EAST        1046634           read
            larccld.fd                GOES_WEST         825333           read
           metarcld.fd                raw_METAR           5465           read
           metarcld.fd       METAR_on_MPAS_mesh        1065642      processed
          lightning.fd            raw_lightning          31121           read
          lightning.fd   lightning_on_MPAS_mesh           3839      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           65.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1065642       ingested
      cloudanalysis.fd                lightning           3839       ingested
      cloudanalysis.fd                     refl             33       ingested
