               program              observation         number         status
            larccld.fd                GOES_EAST        1052149           read
            larccld.fd                GOES_WEST         827577           read
           metarcld.fd                raw_METAR           4763           read
           metarcld.fd       METAR_on_MPAS_mesh        1053779      processed
          lightning.fd            raw_lightning          26693           read
          lightning.fd   lightning_on_MPAS_mesh           1243      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           63.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1053779       ingested
      cloudanalysis.fd                lightning           1243       ingested
      cloudanalysis.fd                     refl             33       ingested
