               program              observation         number         status
            larccld.fd                GOES_EAST        1045440           read
            larccld.fd                GOES_WEST         821234           read
           metarcld.fd                raw_METAR           5638           read
           metarcld.fd       METAR_on_MPAS_mesh        1099429      processed
          lightning.fd            raw_lightning          50078           read
          lightning.fd   lightning_on_MPAS_mesh           5158      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           62.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1099429       ingested
      cloudanalysis.fd                lightning           5158       ingested
      cloudanalysis.fd                     refl             33       ingested
