        observer   n_ioda     nobs   nobs_r  n_loop1  n_loop2       obserr       Jo/n_1       Jo/n_2
        refl10cm  3911933  3911933  3911933  3777189  3777189            5     0.394334     0.394334
     adpsfc_t181     9474      370      370      360      360       0.7528      2.74079     0.750808
     adpsfc_t183     9474      213      213      211      211   3.3726e+09    0.0870227    0.0365598
     adpsfc_t187     9474     2110     2110     2106     2106       2.2585     0.199558     0.143791
     adpsfc_q181     9474     3236     3236     3233     3233      940.755    0.0633728    0.0390593
     adpsfc_q183     9474     3447     3447     3442     3442      968.195    0.0153756   0.00839095
     adpsfc_q187     9474     2437     2437     2434     2434      387.388     0.473919     0.301596
    adpsfc_ps181     9474      371      371      369      369      55.6098      1.21529     0.297433
    adpsfc_ps187     9474     1975     1975     1975     1975      54.7411      1.74732     0.298204
    adpsfc_uv281     9474      650      650      646      646      1.71142     0.651704     0.259284
    adpsfc_uv284     9474      422      422      414      414      1.28667      1.06443     0.413802
    adpsfc_uv287     9474     3844     3844     3826     3826       1.5874     0.668454     0.408874
     adpupa_t120     5942     1088     1088     1088     1088  8.28701e+19     0.175171     0.119117
     adpupa_q120     5942      102      102      102      102  0.000355165     0.446601     0.219284
    adpupa_ps120     5942        0        0        0        0            0            0            0
    adpupa_uv220     5942     3720     3720     3720     3720  1.19524e+20     0.481062     0.305766
     aircar_t133    56748    24296    24296    24281    24281     0.915637     0.327615     0.189382
     aircar_q133    56748     2223     2223     2223     2223     0.311804     0.277946     0.185498
    aircar_uv233    56748    49162    49162    49130    49130      2.32712     0.371101     0.193427
     sfcshp_t180     3146      640      640      640      640  6.84653e+08    0.0694199    0.0614172
     sfcshp_t183     3146       44       44       44       44  1.50756e+09     0.149702     0.113593
     sfcshp_q180     3146      438      438      438      438    0.0010863     0.380258     0.232621
     sfcshp_q183     3146      270      270      270      270      937.934    0.0748529    0.0431312
    sfcshp_ps180     3146     1238     1238     1222     1221      38.2541      4.42213     0.767265
    sfcshp_uv280     3146     2012     2012     2012     2012       2.6478     0.377856     0.159895
    sfcshp_uv282     3146       40       40       40       40      1.07919      1.33646     0.295026
    sfcshp_uv284     3146      230      230      228      228      1.12647      1.20898      0.31677
