               program              observation         number         status
            larccld.fd                GOES_EAST        1046316           read
            larccld.fd                GOES_WEST         824996           read
           metarcld.fd                raw_METAR           5617           read
           metarcld.fd       METAR_on_MPAS_mesh        1045562      processed
          lightning.fd            raw_lightning          56915           read
          lightning.fd   lightning_on_MPAS_mesh           1563      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           58.5           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1045562       ingested
      cloudanalysis.fd                lightning           1563       ingested
      cloudanalysis.fd                     refl             33       ingested
