               program              observation         number         status
            larccld.fd                GOES_EAST        1048107           read
            larccld.fd                GOES_WEST         823548           read
           metarcld.fd                raw_METAR           5649           read
           metarcld.fd       METAR_on_MPAS_mesh        1061618      processed
          lightning.fd            raw_lightning          56890           read
          lightning.fd   lightning_on_MPAS_mesh           6771      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           64.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1061618       ingested
      cloudanalysis.fd                lightning           6771       ingested
      cloudanalysis.fd                     refl             33       ingested
