               program              observation         number         status
            larccld.fd                GOES_EAST        1039919           read
            larccld.fd                GOES_WEST         827851           read
           metarcld.fd                raw_METAR           5909           read
           metarcld.fd       METAR_on_MPAS_mesh        1057325      processed
          lightning.fd            raw_lightning          47126           read
          lightning.fd   lightning_on_MPAS_mesh           2298      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           61.5           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1057325       ingested
      cloudanalysis.fd                lightning           2298       ingested
      cloudanalysis.fd                     refl             33       ingested
