loop1: max_iter=50, norm_reduction(target=0.001, final=0.000818395)
  i                   resNorm                         J                        Jb                      JoJc
  0         1099.333871892312      1270602.134914160008            0.000000000000      1270602.134914160008
  1          653.297235344223      1265195.162663341034           48.381469867306      1265146.781193474075
  2          592.971919391559      1262147.267673548078          161.831869235262      1261985.435804313049
  3          518.472492908597      1260539.179820118006          283.874159575783      1260255.305660543032
  4          422.655564925348      1259155.119218555046          452.982653615688      1258702.136564939050
  5          326.100085976013      1257555.971799291903          769.880910469955      1256786.090888821986
  6          295.500279776084      1256324.579982171999         1149.302947201777      1255175.277034970000
  7          285.869872765001      1255698.449921461986         1408.747078313991      1254289.702843148028
  8          233.322871102064      1255059.585953410948         1741.948064252308      1253317.637889158912
  9          186.483146510956      1254639.656736054923         2010.502699958939      1252629.154036096996
 10          166.782766565837      1254207.867552028038         2346.493137523597      1251861.374414504971
 11          160.604407898023      1253998.614264484029         2538.102829841961      1251460.511434643064
 12          124.055117533642      1253786.404390301090         2759.433828483308      1251026.970561817987
 13          112.234588945690      1253642.297700019088         2929.918986757503      1250712.378713262035
 14           86.700460568323      1253510.536752098938         3105.656773111500      1250404.879978988087
 15           70.639354148511      1253412.184781359974         3253.650203174251      1250158.534578185994
 16           63.701886893800      1253346.075511689996         3364.613105630132      1249981.462406059960
 17           55.880041895648      1253296.422479982022         3456.619846756783      1249839.802633224986
 18           43.048075607533      1253260.876097121043         3528.714403738665      1249732.161693382077
 19           40.056639193051      1253235.074089524103         3585.609773027069      1249649.464316497091
 20           32.266047917020      1253219.500339075923         3622.514338390336      1249596.986000685953
 21           26.102558099909      1253204.650171410991         3660.276307578931      1249544.373863832094
 22           21.902902054721      1253196.004094138974         3683.837832232349      1249512.166261906968
 23           19.025214098161      1253189.083943611011         3703.931031018870      1249485.152912592050
 24           16.890931105371      1253185.191108901985         3715.897984260364      1249469.293124641990
 25           14.067727458209      1253181.859012275003         3726.683783886733      1249455.175228388049
 26           11.631732431202      1253179.477945589926         3734.806441845248      1249444.671503745019
 27           10.751490091467      1253177.913645107998         3740.403783572696      1249437.509861534927
 28            7.973237024512      1253176.723169346107         3744.855960442851      1249431.867208902957
 29            6.829974049951      1253175.777513789944         3748.559070945319      1249427.218442844925
 30            5.696621506411      1253175.166688957019         3751.062049823306      1249424.104639132973
 31            4.732981905602      1253174.733156566974         3752.914793095108      1249421.818363471888
 32            3.775437915875      1253174.388410321902         3754.453572391009      1249419.934837931069
 33            3.108827632317      1253174.169562919065         3755.473352391509      1249418.696210528025
 34            2.478549844928      1253174.020205948967         3756.197809608789      1249417.822396340081
 35            2.069887118945      1253173.909397529904         3756.757763273781      1249417.151634255890
 36            1.736824120529      1253173.844814514043         3757.097019416557      1249416.747795097996
 37            1.382201142335      1253173.795547521906         3757.365469228802      1249416.430078292964
 38            1.124488958634      1253173.762438849080         3757.552739435831      1249416.209699413041
 39            0.899689857312      1253173.741385214031         3757.676108957899      1249416.065276256995

loop2: max_iter=50, norm_reduction(target=0.001, final=0.000804386)
  i                   resNorm                         J                        Jb                      JoJc
  0           44.358122388544      1253237.449113547103         3757.676108957899      1249479.773004588904
  1           25.122056766551      1253211.752794113010         3760.175646797674      1249451.577147315023
  2           26.933603261198      1253205.132521691034         3761.364419146531      1249443.768102545058
  3           20.952624017275      1253202.554902358912         3761.829504048078      1249440.725398310926
  4           17.098159090722      1253199.299882800085         3762.593909441915      1249436.705973357894
  5           15.500798063716      1253197.458046219079         3763.220340802620      1249434.237705416977
  6           12.065529701991      1253195.360404378036         3763.849501567000      1249431.510902811075
  7           11.392288942213      1253194.124782127095         3764.414471135298      1249429.710310992086
  8           10.148858689355      1253192.979154251982         3765.138715164875      1249427.840439087013
  9            9.335225930115      1253192.198575777002         3765.560605056059      1249426.637970721116
 10            7.028211493167      1253191.442060970003         3766.131994099312      1249425.310066871112
 11            6.859134926946      1253190.724588762969         3766.377106768593      1249424.347481993958
 12            6.033634557191      1253190.225486041978         3766.686769703817      1249423.538716339041
 13            5.908390519011      1253189.905351660913         3766.755081862088      1249423.150269798934
 14            4.736485397054      1253189.647386098048         3766.638254616300      1249423.009131482104
 15            4.180772980506      1253189.419484528946         3766.660520669701      1249422.758963858942
 16            3.311947431948      1253189.233779879054         3766.447953639528      1249422.785826239968
 17            2.985592760519      1253189.104231185047         3766.412879934036      1249422.691351250978
 18            2.520985589848      1253188.985441548983         3766.352870244911      1249422.632571303984
 19            2.103427830344      1253188.919117227895         3766.373400913821      1249422.545716314111
 20            1.726629275967      1253188.856165943900         3766.453728765267      1249422.402437178884
 21            1.649532432778      1253188.813735805918         3766.528996688181      1249422.284739118069
 22            1.258524590122      1253188.787167547038         3766.566806209061      1249422.220361337997
 23            1.052278421902      1253188.764717837097         3766.555079904644      1249422.209637932014
 24            0.991890469082      1253188.751600079937         3766.548902722443      1249422.202697358094
 25            0.756915526570      1253188.741363228997         3766.529144934967      1249422.212218293920
 26            0.611020894691      1253188.733024610905         3766.505375045194      1249422.227649566019
 27            0.578824810859      1253188.727863823995         3766.481986659000      1249422.245877165115
 28            0.484874378326      1253188.724859992974         3766.470070253825      1249422.254789738916
 29            0.362708287968      1253188.721725045005         3766.457235407746      1249422.264489637921
 30            0.309631206387      1253188.719463964924         3766.459836667172      1249422.259627297986
 31            0.262179706825      1253188.718141146936         3766.463064473864      1249422.255076674046
 32            0.248317719635      1253188.717267279048         3766.478983316452      1249422.238283962011
 33            0.179117540726      1253188.716659692116         3766.484568475716      1249422.232091215905
 34            0.153718888239      1253188.716156143928         3766.496495334737      1249422.219660809962
 35            0.122916166408      1253188.715798686026         3766.505129439568      1249422.210669246037
 36            0.100112788014      1253188.715561144054         3766.513954591988      1249422.201606551884
