               program              observation         number         status
            larccld.fd                GOES_EAST        1049062           read
            larccld.fd                GOES_WEST         823852           read
           metarcld.fd                raw_METAR           3048           read
           metarcld.fd       METAR_on_MPAS_mesh         969373      processed
          lightning.fd            raw_lightning          21144           read
          lightning.fd   lightning_on_MPAS_mesh           3165      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           69.5           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR         969373       ingested
      cloudanalysis.fd                lightning           3165       ingested
      cloudanalysis.fd                     refl             33       ingested
